"","BPS_ID","EVT_ID","freq","acres","GROUPVEG","bps_acres","EVT_PHYS","evt_acres"
"1",11,7292,825187,183517,"BPS  Open Water",183517,"EVT  Open Water",183813
"2",31,9099,169,38,"BPS  Barren-Rock/Sand/Clay",1794,"EVT  Sparsely Vegetated",38
"3",31,9100,620,138,"BPS  Barren-Rock/Sand/Clay",1794,"EVT  Sparsely Vegetated",138
"4",31,9101,7183,1597,"BPS  Barren-Rock/Sand/Clay",1794,"EVT  Sparsely Vegetated",1597
"5",31,9113,96,21,"BPS  Barren-Rock/Sand/Clay",1794,"EVT  Sparsely Vegetated",21
"6",1561,7238,123,27,"BPS  Hardwood",6924,"EVT  Hardwood",16541
"7",1561,7239,75,17,"BPS  Hardwood",6924,"EVT  Conifer-Hardwood",23986
"8",1561,7240,178,40,"BPS  Hardwood",6924,"EVT  Hardwood",16416
"9",1561,7241,542,121,"BPS  Hardwood",6924,"EVT  Conifer-Hardwood",132986
"10",1561,7242,16,4,"BPS  Hardwood",6924,"EVT  Hardwood",2645
"11",1561,7243,2,0,"BPS  Hardwood",6924,"EVT  Conifer-Hardwood",472
"12",1561,7296,76,17,"BPS  Hardwood",6924,"EVT  Developed-Low Intensity",21617
"13",1561,7297,10,2,"BPS  Hardwood",6924,"EVT  Developed-Medium Intensity",10233
"14",1561,7298,1,0,"BPS  Hardwood",6924,"EVT  Developed-High Intensity",4931
"15",1561,7299,947,211,"BPS  Hardwood",6924,"EVT  Developed-Roads",131673
"16",1561,7301,498,111,"BPS  Hardwood",6924,"EVT  Hardwood",256176
"17",1561,7302,16725,3720,"BPS  Hardwood",6924,"EVT  Hardwood",1320325
"18",1561,7362,86,19,"BPS  Hardwood",6924,"EVT  Conifer",42970
"19",1561,7366,323,72,"BPS  Hardwood",6924,"EVT  Conifer",222611
"20",1561,7407,23,5,"BPS  Hardwood",6924,"EVT  Conifer",21155
"21",1561,7409,3,1,"BPS  Hardwood",6924,"EVT  Grassland",647
"22",1561,7466,8,2,"BPS  Hardwood",6924,"EVT  Riparian",25043
"23",1561,7481,915,203,"BPS  Hardwood",6924,"EVT  Riparian",1415269
"24",1561,7905,171,38,"BPS  Hardwood",6924,"EVT  Developed",29576
"25",1561,7906,63,14,"BPS  Hardwood",6924,"EVT  Developed",25348
