"","BpS_Name","refLabel","refCur","Percent"
"1","Laurentian-Acadian Northern Hardwoods Forest - Hemlock","A","refPercent",2
"2","Laurentian-Acadian Northern Hardwoods Forest - Hemlock","A","currentPercent",0
"3","Laurentian-Acadian Northern Hardwoods Forest - Hemlock","A","refPercent",2
"4","Laurentian-Acadian Northern Hardwoods Forest - Hemlock","A","currentPercent",0
"5","Laurentian-Acadian Northern Hardwoods Forest - Hemlock","B","refPercent",4
"6","Laurentian-Acadian Northern Hardwoods Forest - Hemlock","B","currentPercent",0
"7","Laurentian-Acadian Northern Hardwoods Forest - Hemlock","B","refPercent",4
"8","Laurentian-Acadian Northern Hardwoods Forest - Hemlock","B","currentPercent",2
"9","Laurentian-Acadian Northern Hardwoods Forest - Hemlock","B","refPercent",4
"10","Laurentian-Acadian Northern Hardwoods Forest - Hemlock","B","currentPercent",1
"11","Laurentian-Acadian Northern Hardwoods Forest - Hemlock","B","refPercent",4
"12","Laurentian-Acadian Northern Hardwoods Forest - Hemlock","B","currentPercent",1
"13","Laurentian-Acadian Northern Hardwoods Forest - Hemlock","C","refPercent",14
"14","Laurentian-Acadian Northern Hardwoods Forest - Hemlock","C","currentPercent",10
"15","Laurentian-Acadian Northern Hardwoods Forest - Hemlock","C","refPercent",14
"16","Laurentian-Acadian Northern Hardwoods Forest - Hemlock","C","currentPercent",2
"17","Laurentian-Acadian Northern Hardwoods Forest - Hemlock","C","refPercent",14
"18","Laurentian-Acadian Northern Hardwoods Forest - Hemlock","C","currentPercent",21
"19","Laurentian-Acadian Northern Hardwoods Forest - Hemlock","C","refPercent",14
"20","Laurentian-Acadian Northern Hardwoods Forest - Hemlock","C","currentPercent",22
"21","Laurentian-Acadian Northern Hardwoods Forest - Hemlock","D","refPercent",76
"22","Laurentian-Acadian Northern Hardwoods Forest - Hemlock","D","currentPercent",NA
"23","Laurentian-Acadian Northern Hardwoods Forest - Hemlock","E","refPercent",4
"24","Laurentian-Acadian Northern Hardwoods Forest - Hemlock","E","currentPercent",50
"25","Laurentian-Acadian Northern Hardwoods Forest - Hemlock","E","refPercent",4
"26","Laurentian-Acadian Northern Hardwoods Forest - Hemlock","E","currentPercent",15
"27","Laurentian-Acadian Northern Hardwoods Forest - Hemlock","E","refPercent",4
"28","Laurentian-Acadian Northern Hardwoods Forest - Hemlock","E","currentPercent",50
"29","Laurentian-Acadian Northern Hardwoods Forest - Hemlock","E","refPercent",4
"30","Laurentian-Acadian Northern Hardwoods Forest - Hemlock","E","currentPercent",46
"31","Laurentian-Acadian Northern Hardwoods Forest - Hemlock","Agriculture","refPercent",0
"32","Laurentian-Acadian Northern Hardwoods Forest - Hemlock","Agriculture","currentPercent",17
"33","Laurentian-Acadian Northern Hardwoods Forest - Hemlock","Agriculture","refPercent",0
"34","Laurentian-Acadian Northern Hardwoods Forest - Hemlock","Agriculture","currentPercent",20
"35","Laurentian-Acadian Northern Hardwoods Forest - Hemlock","Agriculture","refPercent",0
"36","Laurentian-Acadian Northern Hardwoods Forest - Hemlock","Agriculture","currentPercent",5
"37","Laurentian-Acadian Northern Hardwoods Forest - Hemlock","Agriculture","refPercent",0
"38","Laurentian-Acadian Northern Hardwoods Forest - Hemlock","Agriculture","currentPercent",6
"39","Laurentian-Acadian Northern Hardwoods Forest - Hemlock","Developed","refPercent",0
"40","Laurentian-Acadian Northern Hardwoods Forest - Hemlock","Developed","currentPercent",4
"41","Laurentian-Acadian Northern Hardwoods Forest - Hemlock","Developed","refPercent",0
"42","Laurentian-Acadian Northern Hardwoods Forest - Hemlock","Developed","currentPercent",15
"43","Laurentian-Acadian Northern Hardwoods Forest - Hemlock","Developed","refPercent",0
"44","Laurentian-Acadian Northern Hardwoods Forest - Hemlock","Developed","currentPercent",6
"45","Laurentian-Acadian Northern Hardwoods Forest - Hemlock","Developed","refPercent",0
"46","Laurentian-Acadian Northern Hardwoods Forest - Hemlock","Developed","currentPercent",6
"47","Laurentian-Acadian Northern Hardwoods Forest - Hemlock","Water","refPercent",0
"48","Laurentian-Acadian Northern Hardwoods Forest - Hemlock","Water","currentPercent",NA
"49","Laurentian-Acadian Northern Hardwoods Forest - Hemlock","UN","refPercent",0
"50","Laurentian-Acadian Northern Hardwoods Forest - Hemlock","UN","currentPercent",12
"51","Laurentian-Acadian Northern Hardwoods Forest - Hemlock","UN","refPercent",0
"52","Laurentian-Acadian Northern Hardwoods Forest - Hemlock","UN","currentPercent",36
"53","Laurentian-Acadian Northern Hardwoods Forest - Hemlock","UN","refPercent",0
"54","Laurentian-Acadian Northern Hardwoods Forest - Hemlock","UN","currentPercent",11
"55","Laurentian-Acadian Northern Hardwoods Forest - Hemlock","UN","refPercent",0
"56","Laurentian-Acadian Northern Hardwoods Forest - Hemlock","UN","currentPercent",11
"57","Laurentian-Acadian Northern Hardwoods Forest - Hemlock","UE","refPercent",0
"58","Laurentian-Acadian Northern Hardwoods Forest - Hemlock","UE","currentPercent",4
"59","Laurentian-Acadian Northern Hardwoods Forest - Hemlock","UE","refPercent",0
"60","Laurentian-Acadian Northern Hardwoods Forest - Hemlock","UE","currentPercent",6
"61","Laurentian-Acadian Northern Hardwoods Forest - Hemlock","UE","refPercent",0
"62","Laurentian-Acadian Northern Hardwoods Forest - Hemlock","UE","currentPercent",4
"63","Laurentian-Acadian Northern Hardwoods Forest - Hemlock","UE","refPercent",0
"64","Laurentian-Acadian Northern Hardwoods Forest - Hemlock","UE","currentPercent",3
"65","Boreal Acidic Peatland Systems","A","refPercent",14
"66","Boreal Acidic Peatland Systems","A","currentPercent",0
"67","Boreal Acidic Peatland Systems","A","refPercent",14
"68","Boreal Acidic Peatland Systems","A","currentPercent",3
"69","Boreal Acidic Peatland Systems","B","refPercent",16
"70","Boreal Acidic Peatland Systems","B","currentPercent",0
"71","Boreal Acidic Peatland Systems","B","refPercent",16
"72","Boreal Acidic Peatland Systems","B","currentPercent",3
"73","Boreal Acidic Peatland Systems","C","refPercent",38
"74","Boreal Acidic Peatland Systems","C","currentPercent",21
"75","Boreal Acidic Peatland Systems","C","refPercent",38
"76","Boreal Acidic Peatland Systems","C","currentPercent",24
"77","Boreal Acidic Peatland Systems","D","refPercent",23
"78","Boreal Acidic Peatland Systems","D","currentPercent",75
"79","Boreal Acidic Peatland Systems","D","refPercent",23
"80","Boreal Acidic Peatland Systems","D","currentPercent",63
"81","Boreal Acidic Peatland Systems","E","refPercent",9
"82","Boreal Acidic Peatland Systems","E","currentPercent",0
"83","Boreal Acidic Peatland Systems","Agriculture","refPercent",0
"84","Boreal Acidic Peatland Systems","Agriculture","currentPercent",0
"85","Boreal Acidic Peatland Systems","Agriculture","refPercent",0
"86","Boreal Acidic Peatland Systems","Agriculture","currentPercent",0
"87","Boreal Acidic Peatland Systems","Developed","refPercent",0
"88","Boreal Acidic Peatland Systems","Developed","currentPercent",2
"89","Boreal Acidic Peatland Systems","Developed","refPercent",0
"90","Boreal Acidic Peatland Systems","Developed","currentPercent",0
"91","Boreal Acidic Peatland Systems","Water","refPercent",0
"92","Boreal Acidic Peatland Systems","Water","currentPercent",NA
"93","Boreal Acidic Peatland Systems","UN","refPercent",0
"94","Boreal Acidic Peatland Systems","UN","currentPercent",0
"95","Boreal Acidic Peatland Systems","UN","refPercent",0
"96","Boreal Acidic Peatland Systems","UN","currentPercent",1
"97","Boreal Acidic Peatland Systems","UE","refPercent",0
"98","Boreal Acidic Peatland Systems","UE","currentPercent",0
"99","Boreal Acidic Peatland Systems","UE","refPercent",0
"100","Boreal Acidic Peatland Systems","UE","currentPercent",0
"101","Laurentian-Acadian Alkaline Conifer-Hardwood Swamp","A","refPercent",14
"102","Laurentian-Acadian Alkaline Conifer-Hardwood Swamp","A","currentPercent",0
"103","Laurentian-Acadian Alkaline Conifer-Hardwood Swamp","A","refPercent",14
"104","Laurentian-Acadian Alkaline Conifer-Hardwood Swamp","A","currentPercent",5
